title,link,price_now,location,discount_price,discount_percent,img_link
Jaket Pria Bolak Balik Jaket Parasut Pria Mens Jacket Windproof Jaket Pria Wanita Tahan Angin Jaket Motor Hangout Fashion Jacket M / L / XL / XXL - AX002,https://www.lazada.co.id/products/jaket-pria-bolak-balik-jaket-parasut-pria-mens-jacket-windproof-jaket-pria-wanita-tahan-angin-jaket-motor-hangout-fashion-jacket-m-l-xl-xxl-ax002-i108345388-s335323341.html?search=1,Rp99.000,Jawa Barat,Rp220.000,-55%,https://id-live-01.slatic.net/original/03672e5f8247c6539f9547a5e44718d5.jpg
Jaket Parka Taslan Waterproof - Oenzie Store,https://www.lazada.co.id/products/jaket-parka-taslan-waterproof-oenzie-store-i196852035-s394004053.html?search=1,Rp120.000,Jawa Barat,Rp225.000,-47%,https://id-test-11.slatic.net/p/895e71625120f258e4dc48399197ed6d.jpg
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Make It Outfits - JAKET JEANS DENIM CASUAL PRIA - BLACK ACID WASH,https://www.lazada.co.id/products/make-it-outfits-jaket-jeans-denim-casual-pria-black-acid-wash-i413599974-s462118334.html?search=1,Rp109.900,Jawa Barat,Rp300.000,-63%,https://id-live-01.slatic.net/original/fc5d74cbff787f768b8e5e70bfe74e4f.jpg
Bhl Jaket Denim Jeans  Oversize Wanita _ Bioblitz [Biru Muda] ,https://www.lazada.co.id/products/bhl-jaket-denim-jeans-oversize-wanita-_-bioblitz-biru-muda-i123581698-s129275978.html?search=1,Rp89.700,Jawa Barat,Rp297.000,-70%,https://id-test-11.slatic.net/p/1be6a3e08861fab72a3a7a349c36186b.jpg
Jaket Bomber Classic Sensor - Jaket Bomber Pria,https://www.lazada.co.id/products/jaket-bomber-classic-sensor-jaket-bomber-pria-i497322647-s626244758.html?search=1,Rp129.000,Jawa Barat,Rp199.000,-35%,https://id-test-11.slatic.net/p/23653b124b059c9bc3de716e334bf89f.jpg
1080Fashion JACKET JEANS AURORI,https://www.lazada.co.id/products/1080fashion-jacket-jeans-aurori-i505010800-s650974640.html?search=1,Rp57.500,DKI Jakarta,Rp62.000,-7%,https://id-test-11.slatic.net/p/91e305cec5f5f8784d33a53e0e9c0dc9.jpg
MFM Jaket Denim Wanita – Jaket Jeans Denim 2 Warna – Jaket Jeans 2 Warna – pink mix wosh,https://www.lazada.co.id/products/mfm-jaket-denim-wanita-jaket-jeans-denim-2-warna-jaket-jeans-2-warna-pink-mix-wosh-i423054655-s481451116.html?search=1,Rp124.900,Jawa Barat,Rp399.000,-69%,https://id-test-11.slatic.net/p/e8962651bb15d77dfc514d8fb1146b6d.jpg
JAKET PARKA TASLAN PREMIUM ORY REBEEL ID -Gibranstore,https://www.lazada.co.id/products/jaket-parka-taslan-premium-ory-rebeel-id-gibranstore-i145534805-s470445281.html?search=1,Rp120.000,Jawa Barat,Rp215.000,-44%,https://id-test-11.slatic.net/p/1ea83460d792acdcaf1011fb7c90a49a.jpg
Jaket Semi Parka Pria,https://www.lazada.co.id/products/jaket-semi-parka-pria-i511876234-s684842849.html?search=1,Rp70.000,Jawa Barat,Rp139.000,-50%,https://id-test-11.slatic.net/p/fa52f2ea36abd9f969c56b0ada987904.jpg
